YEAR,QUARTER,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2014,4,PELHAM BAY PARK,BRONX        ,2771.747,0,0,0,0,0,0,0,0
2014,4,VAN CORTLANDT PARK,BRONX        ,1146.430,0,0,0,1,0,2,0,3
2014,4,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.564,0,0,0,0,0,0,0,0
2014,4,FRESHKILLS PARK,STATEN ISLAND,913.320,0,0,0,0,0,0,0,0
2014,4,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.690,0,0,0,2,2,8,0,12
2014,4,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.970,0,0,0,0,0,0,0,0
2014,4,MARINE PARK,BROOKLYN     ,798.000,0,0,1,0,0,1,0,2
2014,4,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.430,0,0,0,0,0,1,0,1
2014,4,BRONX PARK,BRONX        ,718.373,0,1,0,0,0,0,0,1
2014,4,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.350,0,0,0,0,0,0,0,0
2014,4,ALLEY POND PARK,QUEENS       ,635.514,0,0,0,0,0,0,0,0
2014,4,PROSPECT PARK,BROOKLYN     ,526.250,0,0,0,0,0,4,0,4
2014,4,FOREST PARK,QUEENS       ,506.860,0,0,0,0,0,0,0,0
2014,4,GRAND CENTRAL PARKWAY,QUEENS       ,460.160,0,0,0,0,0,0,0,0
2014,4,FERRY POINT PARK,BRONX        ,413.800,0,0,0,0,0,0,0,0
2014,4,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.203,0,0,1,0,0,0,0,1
2014,4,CUNNINGHAM PARK,QUEENS       ,358.000,0,0,0,0,0,1,0,1
2014,4,RICHMOND PARKWAY,STATEN ISLAND,350.983,0,0,0,0,0,0,0,0
2014,4,CROSS ISLAND PARKWAY,QUEENS       ,326.895,0,0,0,0,0,0,0,0
2014,4,GREAT KILLS PARK,STATEN ISLAND,315.094,0,0,0,0,0,0,0,0
2014,4,WOLFE'S POND PARK,STATEN ISLAND,302.693,0,0,0,0,0,0,0,0
2014,4,CONFERENCE HOUSE PARK,STATEN ISLAND,286.382,0,0,0,0,0,0,0,0
2014,4,RANDALL'S ISLAND PARK,MANHATTAN    ,256.111,0,0,0,0,0,0,0,0
2014,4,ROCKAWAY COMMUNITY PARK,QUEENS       ,255.400,0,0,0,0,0,0,0,0
2014,4,KISSENA PARK,QUEENS       ,237.147,0,0,0,0,0,0,0,0
2014,4,RIVERSIDE PARK,MANHATTAN    ,235.765,0,0,6,1,2,8,0,17
2014,4,HUTCHINSON RIVER PARKWAY,BRONX        ,229.140,0,0,0,0,0,0,0,0
2014,4,BLUE HERON PARK,STATEN ISLAND,217.450,0,0,0,0,0,0,0,0
2014,4,DYKER BEACH PARK,BROOKLYN     ,216.655,0,0,0,0,0,0,0,0
2014,4,WILLOWBROOK PARK,STATEN ISLAND,214.947,0,0,0,0,0,0,0,0
2014,4,STATEN ISLAND INDUSTRIAL PARK,STATEN ISLAND,210.928,0,0,0,0,0,0,0,0
2014,4,SILVER LAKE PARK,STATEN ISLAND,205.977,0,0,0,0,0,0,0,0
2014,4,BRONX RIVER PARKWAY,BRONX        ,205.647,0,0,0,0,0,0,0,0
2014,4,SOUNDVIEW PARK,BRONX        ,205.310,0,0,1,2,0,2,0,5
2014,4,BELT PARKWAY,QUEENS       ,202.647,0,0,0,0,0,0,0,0
2014,4,WILLOWBROOK PARKWAY,STATEN ISLAND,198.481,0,0,0,0,0,0,0,0
2014,4,INWOOD HILL PARK,MANHATTAN    ,196.398,0,0,0,0,0,0,0,0
2014,4,CLOVE LAKES PARK,STATEN ISLAND,193.423,0,0,1,0,0,0,0,1
2014,4,FORT WASHINGTON PARK,MANHATTAN    ,184.143,0,0,0,0,0,0,0,0
2014,4,IDLEWILD PARK,QUEENS       ,180.850,0,0,0,0,0,0,0,0
2014,4,WARDS ISLAND PARK,MANHATTAN    ,176.581,0,0,0,0,0,0,0,0
2014,4,SOUTH SHORE COUNTRY CLUB,STATEN ISLAND,173.994,0,0,0,0,0,0,0,0
2014,4,SAW MILL CREEK MARSH,STATEN ISLAND,171.778,0,0,0,0,0,0,0,0
2014,4,BLOOD ROOT VALLEY,STATEN ISLAND,161.242,0,0,0,0,0,0,0,0
2014,4,JAMAICA BAY PARK,QUEENS       ,149.540,0,0,0,0,0,0,0,0
2014,4,KISSENA CORRIDOR PARK,QUEENS       ,146.810,0,0,0,0,0,0,0,0
2014,4,HIGHLAND PARK,BROOKLYN/QUEENS,146.339,0,0,1,0,0,0,0,1
2014,4,ARDEN WOODS,STATEN ISLAND,145.864,0,0,0,0,0,0,0,0
2014,4,RIVERDALE PARK,BRONX        ,144.290,0,0,0,0,0,0,0,0
2014,4,OCEAN PARKWAY MALLS,BROOKLYN     ,140.000,0,0,0,0,0,1,0,1
2014,4,BLOOMINGDALE PARK,STATEN ISLAND,138.100,0,0,0,0,0,0,0,0
2014,4,OCEAN BREEZE PARK,STATEN ISLAND,136.568,0,0,0,0,0,0,0,0
2014,4,CANARSIE PARK,BROOKLYN     ,132.200,0,0,0,0,0,0,0,0
2014,4,HIGHBRIDGE PARK MANHATTAN SIDE,MANHATTAN    ,130.100,0,0,3,0,0,0,0,3
2014,4,CROTONA PARK,BRONX        ,127.500,0,0,4,0,0,1,0,5
2014,4,PAERDEGAT BASIN PARK,BROOKLYN     ,118.795,0,0,0,0,0,0,0,0
2014,4,HOOK CREEK PARK,QUEENS       ,111.163,0,0,0,0,0,0,0,0
2014,4,CRESCENT BEACH PARK,STATEN ISLAND,110.960,0,0,0,0,0,0,0,0
2014,4,CLEARVIEW PARK GOLF COURSE,QUEENS       ,110.930,0,0,0,0,0,0,0,0
2014,4,BAISLEY POND PARK,QUEENS       ,109.609,0,0,0,0,0,0,0,0
2014,4,PELHAM PARKWAY,BRONX        ,108.910,0,0,0,0,0,0,0,0
2014,4,PRALLS ISLAND,STATEN ISLAND,107.514,0,0,0,0,0,0,0,0
2014,4,MARINERS MARSH PARK,STATEN ISLAND,107.200,0,0,0,0,0,0,0,0
2014,4,DOUGLASTON PARK GOLF COURSE,QUEENS       ,104.600,0,0,0,0,0,0,0,0
2014,4,LEMON CREEK PARK,STATEN ISLAND,104.545,0,0,0,0,0,0,0,0
2014,4,SPRING CREEK PARK,BROOKLYN/QUEENS,99.566,0,0,0,0,0,0,0,0
2014,4,HIGH ROCK PARK,STATEN ISLAND,94.100,0,0,0,0,0,0,0,0
2014,4,LONG POND PARK,STATEN ISLAND,91.948,0,0,0,0,0,0,0,0
2014,4,BROOKVILLE PARK,QUEENS       ,89.946,0,0,1,0,0,0,0,1
2014,4,ISLE OF MEADOWS,STATEN ISLAND,87.516,0,0,0,0,0,0,0,0
2014,4,CALVERT VAUX PARK,BROOKLYN     ,85.527,0,0,0,0,0,0,0,0
2014,4,PUGSLEY CREEK PARK,BRONX        ,83.615,0,0,0,0,0,0,0,0
2014,4,SNUG HARBOR CULTURAL CENTER,STATEN ISLAND,83.300,0,0,0,0,0,0,0,0
2014,4,MOSHOLU PARKWAY,BRONX        ,80.936,0,0,0,0,0,0,0,0
2014,4,MCGUIRE FIELDS,BROOKLYN     ,77.181,0,0,0,0,0,0,0,0
2014,4,FRESH CREEK NATURE PRESERVE,BROOKLYN     ,77.044,0,0,0,0,0,0,0,0
2014,4,JACKIE ROBINSON PARKWAY,BROOKLYN/QUEENS,72.750,0,0,0,0,0,0,0,0
2014,4,FORT TRYON PARK,MANHATTAN    ,67.213,0,0,0,1,0,1,0,2
2014,4,RIVERSIDE PARK SOUTH,MANHATTAN    ,66.693,0,0,0,0,0,0,0,0
2014,4,EASTERN PARKWAY,BROOKLYN     ,65.700,0,0,0,1,0,0,0,1
2014,4,FOUR SPARROW MARSH,BROOKLYN     ,64.665,0,0,0,0,0,0,0,0
2014,4,FORT TOTTEN PARK,QUEENS       ,60.394,0,0,0,0,0,0,0,0
2014,4,ASTORIA PARK,QUEENS       ,59.956,0,0,0,0,0,0,0,0
2014,4,LAURELTON PARKWAY,QUEENS       ,59.612,0,0,0,0,0,0,0,0
2014,4,RED HOOK RECREATION AREA,BROOKLYN     ,58.503,0,0,0,0,0,0,0,0
2014,4,SHORE PARK AND PARKWAY,BROOKLYN     ,58.000,0,0,0,0,0,0,0,0
2014,4,SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.921,0,0,0,0,0,0,0,0
2014,4,JUNIPER VALLEY PARK,QUEENS       ,55.639,0,0,0,0,0,0,0,0
2014,4,LITTLE BAY PARK,QUEENS       ,55.220,0,0,0,0,0,0,0,0
2014,4,POWELL'S COVE PARK,QUEENS       ,55.023,0,0,0,0,0,0,0,0
2014,4,HENRY HUDSON PARKWAY,BRONX        ,54.100,0,0,0,0,0,0,0,0
2014,4,HARLEM RIVER PARK,MANHATTAN    ,53.967,0,0,0,0,0,0,0,0
2014,4,DUBOS POINT WILDLIFE SANCTUARY,QUEENS       ,53.298,0,0,0,0,0,0,0,0
2014,4,ROY WILKINS RECREATION CENTER,QUEENS       ,53.238,0,0,0,0,0,0,0,0
2014,4,REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.375,0,0,0,0,0,0,0,0
2014,4,BROOKLYN BOTANIC GARDEN,BROOKLYN     ,47.570,0,0,0,0,0,0,0,0
2014,4,MEREDITH WOODS,STATEN ISLAND,47.521,0,0,0,0,0,0,0,0
2014,4,QUEENS FARM PARK,QUEENS       ,47.080,0,0,0,0,0,0,0,0
2014,4,EAST RIVER PARK,MANHATTAN    ,45.880,0,0,0,0,0,0,0,0
2014,4,CROCHERON PARK,QUEENS       ,45.790,0,0,1,0,0,0,0,1
2014,4,MACOMBS DAM PARK,BRONX        ,44.174,0,0,0,0,0,2,0,2
2014,4,MANHATTAN BEACH PARK,BROOKLYN     ,42.941,0,0,0,0,0,0,0,0
2014,4,UDALL'S PARK PRESERVE,QUEENS       ,42.768,0,0,0,0,0,0,0,0
2014,4,FAIRVIEW PARK,STATEN ISLAND,42.600,0,0,0,0,0,0,0,0
2014,4,BAYSWATER PARK,QUEENS       ,40.070,0,0,0,0,0,0,0,0
2014,4,DEERE PARK,STATEN ISLAND,39.779,0,0,0,0,0,0,0,0
2014,4,PARADE GROUND,BROOKLYN     ,39.500,0,0,0,0,0,3,0,3
2014,4,CLAREMONT PARK,BRONX        ,38.536,0,0,1,0,0,0,0,1
2014,4,BROAD CHANNEL WETLANDS,QUEENS       ,37.950,0,0,0,0,0,0,0,0
2014,4,CONEY ISLAND BOAT BASIN,BROOKLYN     ,36.810,0,0,0,0,0,0,0,0
2014,4,BUNKER PONDS PARK,STATEN ISLAND,36.691,0,0,0,0,0,0,0,0
2014,4,SETON FALLS PARK,BRONX        ,35.771,0,0,0,0,0,0,0,0
2014,4,MCCARREN PARK,BROOKLYN     ,35.713,0,0,0,0,0,0,0,0
2014,4,ST. MARY'S PARK BRONX,BRONX        ,35.311,0,0,3,0,0,1,0,4
2014,4,SHOOTERS ISLAND,STATEN ISLAND,34.689,0,0,0,0,0,0,0,0
2014,4,NORTH BROTHER ISLAND,BRONX        ,30.395,0,0,0,0,0,0,0,0
2014,4,FORT GREENE PARK,BROOKLYN     ,30.168,0,0,1,0,0,1,0,2
2014,4,BATTERY PARK CITY,MANHATTAN    ,29.990,0,0,0,0,0,0,0,0
2014,4,MORNINGSIDE PARK,MANHATTAN    ,29.888,0,0,0,0,0,0,0,0
2014,4,MACNEIL PARK,QUEENS       ,28.870,0,0,0,0,0,0,0,0
2014,4,ALLEY ATHLETIC PLAYGROUND,QUEENS       ,27.531,0,0,0,0,0,0,0,0
2014,4,VERNAM BARBADOES PENINSULA,QUEENS       ,27.484,0,0,0,0,0,0,0,0
2014,4,COLLEGE POINT FIELDS,QUEENS       ,26.830,0,0,0,0,0,0,0,0
2014,4,KAISER PARK,BROOKLYN     ,26.257,0,0,0,0,0,0,0,0
2014,4,SUNSET PARK,BROOKLYN     ,24.498,0,0,0,0,0,0,0,0
