Year,Quarter,PARK,BOROUGH,SIZE (ACRES),MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
2017,1,PELHAM BAY PARK,BRONX        ,2771.75,0,0,0,0,0,2,0,2
2017,1,VAN CORTLANDT PARK,BRONX        ,1146.43,0,0,0,0,0,0,0,0
2017,1,ROCKAWAY BEACH AND BOARDWALK,QUEENS       ,1072.56,0,0,0,0,0,0,0,0
2017,1,FRESHKILLS PARK,STATEN ISLAND,913.32,0,0,0,0,0,0,0,0
2017,1,FLUSHING MEADOWS CORONA PARK,QUEENS       ,897.69,0,0,0,0,0,3,0,3
2017,1,LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,0,0,0,0,0,0,0,0
2017,1,MARINE PARK,BROOKLYN     ,798.00,0,0,0,0,0,1,0,1
2017,1,BELT PARKWAY/SHORE PARKWAY,BROOKLYN/QUEENS,760.43,0,0,0,0,0,0,0,0
2017,1,BRONX PARK,BRONX        ,718.37,0,0,0,0,0,0,0,0
2017,1,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,STATEN ISLAND,644.35,0,0,0,0,0,0,0,0
2017,1,ALLEY POND PARK,QUEENS       ,635.51,0,0,0,0,0,1,0,1
2017,1,PROSPECT PARK,BROOKLYN     ,526.25,0,1,1,1,0,2,0,5
2017,1,FOREST PARK,QUEENS       ,506.86,0,1,0,0,1,0,0,2
2017,1,GRAND CENTRAL PARKWAY,QUEENS       ,460.16,0,0,0,0,0,0,0,0
2017,1,FERRY POINT PARK,BRONX        ,413.80,0,0,0,0,0,0,0,0
2017,1,CONEY ISLAND BEACH & BOARDWALK,BROOKLYN     ,399.20,0,0,1,0,0,0,0,1
2017,1,CUNNINGHAM PARK,QUEENS       ,358.00,0,0,0,0,0,0,0,0
2017,1,RICHMOND PARKWAY,STATEN ISLAND,350.98,0,0,0,0,0,0,0,0
